Balance of Payments and Direct Investment Position Data (Jun 21 2016  3:18:04:960PM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Direct Investment Abroad,U.S. Direct Investment Position Abroad on a Historical-Cost Basis ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Country Only (All Countries)  (Millions of Dollars) <br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total
    Kyrgyzstan,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,2,2,2,2,2,n.s.,n.s.,n.s.,n.s.,n.s.,12,12,12,12,12,12
    Latvia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,---,---,0,0,0,(D),(D),(D),21,8,44,8,-2,(D),31,61,44,48,51,42,9,2,-3,(D),(D),(D)
    Liechtenstein,329,320,326,350,337,407,294,342,362,385,345,359,282,264,281,302,351,381,388,422,518,561,284,306,248,300,269,56,264,267,278,265,297
    Lithuania,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,---,---,0,0,0,(D),(D),(D),47,43,150,(D),(D),69,(D),(D),32,52,81,79,(D),(D),(D),(D),(D),(D)
    Macedonia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,5,5,5,5,5,4,4,4,4,4,4,4,4,4,(D),(D)
    Malta,(D),(D),(D),(D),(D),15,17,(D),(D),(D),(D),13,26,24,18,10,(D),(D),(D),55,(D),(D),81,384,365,(D),534,1421,1944,1116,(D),(D),902
    Moldova,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3
    Monaco,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,...,...,...,47,44,38,42,34,33,6,-5
    Montenegro,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1,1,1,1,1,1,1,1,1,1,1
    Poland,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,3,32,191,427,771,946,1011,1390,1870,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
